nome_cidade,lat,long
elias fausto,-23.0416538,-47.3718002
general salgado,-20.6488139,-50.3608101
ibira,-21.0815104,-49.2424619
guaracai,-21.0322387,-51.2100464
estiva gerbi,-22.2742719,-46.9523302
fernando prestes,-21.266061,-48.687384
iacanga,-21.8928341,-49.0226082
itobi,-21.730853,-46.9743
holambra ii,-23.4467,-48.8659225
iepe,-22.660165,-51.077881
guarei,-23.3718195,-48.184685
joanopolis,-22.930004,-46.275208
pauliceia,-21.3143975,-51.8316259
catigua,-21.0491485,-49.0578923
jambeiro,-23.2556416,-45.6919926
areias,-22.5800929,-44.6975127
santo antonio do jardim,-22.1158536,-46.6839541
guapiacu,-20.79663,-49.2253917
urania,-20.244491,-50.6450868
cedral,-20.9028433,-49.2699665
rafard,-23.0143559,-47.5306721
torrinha,-22.4302536,-48.1690653
sales oliveira,-20.769612,-47.836873
cardoso,-20.080447,-49.9139767
sete barras,-24.3878438,-47.9265798
irapuru,-21.5691828,-51.3494606
cabreuva,-23.3076318,-47.1325128
bocaina,-22.1421831,-48.522276
pedregulho,-20.25071,-47.4808786
sud mennucci,-20.6906175,-50.9240834
jumirim,-23.0843839,-47.7882279
paraiso,-21.015911,-48.776105
palmeira d'oeste,-20.4168187,-50.762159
pongai,-21.7379814,-49.3584449
silveiras,-22.66384,-44.852157
irapua,-21.2791964,-49.4101967
tabatinga,-21.7373768,-48.6880522
brauna,-21.5015319,-50.3175246
jacupiranga,-24.703773,-48.0060639
igarata,-23.2063475,-46.156934
ibirarema,-22.8131812,-50.0720477
mendonca,-21.1838813,-49.579059
timburi,-23.2064076,-49.6045576
tarabai,-22.3038726,-51.5628675
itaju,-21.9816841,-48.8046536
sales,-21.3418263,-49.4999228
maristela,-23.0384116,-47.8897187
roseira,-22.9008966,-45.3098797
colombia,-20.1774291,-48.6872822
quintana,-22.0705513,-50.308652
adolfo,-21.2356597,-49.6441918
ariranha,-21.18716,-48.790418
guaranta,-21.8950705,-49.590107
arealva,-22.0301906,-48.9111936
orindiuva,-20.1819444,-49.3508333
arandu,-23.1345103,-49.0545651
ocaucu,-22.4396255,-49.9226712
pedrinhas paulista,-22.815725,-50.792359
populina,-19.9427771,-50.5372875
sao jose da bela vista,-20.5934194,-47.6416942
clementina,-21.5594631,-50.448624
cruzalia,-22.7434438,-50.7911037
dumont,-21.2391417,-47.9747665
florida paulista,-21.614061,-51.1729548
sao sebastiao da grama,-21.7118854,-46.8284162
ilha comprida,-24.7445292,-47.5525529
candido rodrigues,-21.3255615,-48.6308798
cabralia paulista,-22.4562909,-49.3385645
itatinga,-23.1042417,-48.6134874
tejupa,-23.3437238,-49.3772468
joao ramalho,-22.2486157,-50.7677114
lavinia,-21.1665477,-51.0410539
lucianopolis,-22.4310459,-49.5219241
terra roxa,-20.787015,-48.331442
bernardino de campos,-23.0140216,-49.4760724
macedonia,-20.1454034,-50.193911
barra do turvo,-24.756421,-48.5056942
santa cruz da conceicao,-22.1378975,-47.4555647
rosana,-22.5788641,-53.0552246
analandia,-22.128917,-47.661939
altinopolis,-21.021364,-47.3712
ribeirao do sul,-22.7861813,-49.9285258
oriente,-22.1525442,-50.0935645
cristais paulista,-20.403569,-47.420915
uchoa,-20.951106,-49.171295
valentim gentil,-20.4226107,-50.0861511
taquarivai,-23.9257829,-48.7005328
vista alegre do alto,-21.171293,-48.6299172
reginopolis,-21.8884118,-49.22273
sao luis do paraitinga,-23.2220188,-45.3108724
ribeira,-24.6577435,-49.0086372
sao joao de iracema,-20.5134345,-50.352595
santo antonio da alegria,-21.0893048,-47.1523426
santa rita d'oeste,-20.1448079,-50.8317569
santa mercedes,-21.3513258,-51.7534
santa lucia,-21.6861811,-48.0836814
salmourao,-21.625096,-50.8605656
sabino,-21.4598472,-49.5776811
riolandia,-19.980944,-49.6814309
quadra,-23.299332,-48.054657
rinopolis,-21.728308,-50.7226134
sao jose do barreiro,-22.6452376,-44.5805246
lupercio,-22.4145801,-49.8183516
inubia paulista,-21.7701831,-50.9616718
echapora,-22.4325855,-50.2037693
oscar bressane,-22.314874,-50.281118
nuporanga,-20.730877,-47.7522561
espirito santo do turvo,-22.6939723,-49.4295067
luiziania,-21.6763356,-50.3269863
nova canaa paulista,-20.3872473,-50.9481571
gastao vidigal,-20.7956829,-50.1907615
guapiara,-24.18921,-48.529549
neves paulista,-20.842992,-49.635767
herculandia,-22.004508,-50.3862746
motuca,-21.5095864,-48.1503832
indiana,-22.1748508,-51.2534615
indiapora,-19.9802644,-50.2906035
mombuca,-22.9293093,-47.5650724
mirante do paranapanema,-22.2925861,-51.907143
mineiros do tiete,-22.4133188,-48.450554
jaborandi,-20.6921079,-48.4144076
julio mesquita,-22.0099839,-49.7889446
manduri,-23.0059018,-49.317191
lagoinha,-23.0898337,-45.1903825
ouro verde,-21.4892638,-51.7025981
estrela do norte,-22.4886301,-51.6606857
bento de abreu,-21.2715723,-50.8117225
aguas de santa barbara,-22.8821912,-49.2383956
aguas de sao pedro,-22.6000681,-47.8750887
poloni,-20.7836955,-49.8149752
pedra bela,-22.7950193,-46.4431811
alambari,-23.550338,-47.897971
alvares florence,-20.3205523,-49.9085255
capela do alto,-23.4704798,-47.7352309
areiopolis,-22.6758064,-48.6673653
sao francisco,-20.3604438,-50.696603
iacri,-21.8583385,-50.6892931
arapei,-22.6738889,-44.4477778
aparecida de sao manuel,-22.729948,-48.647038025
ipigua,-20.657282,-49.3881146
dobrada,-21.5180904,-48.3938897
vargem,-22.8902379,-46.4145366
irape,-23.06682105,-49.764942327792966
alvaro de carvalho,-22.0787992,-49.7194861
guariroba,-21.49773435,-48.622587825
itirapina,-22.2536514,-47.8212546
santo antonio do pinhal,-22.8250504,-45.6674063
jaci,-20.8844434,-49.5710544
itapirapua paulista,-24.5735083,-49.1703846
guaraci,-20.4976771,-48.9452074
corumbatai,-22.2210521,-47.6249638
buritizal,-20.1933264,-47.7097165
tapirai,-23.9638345,-47.5067136
coronel macedo,-23.6304001,-49.313234
taciba,-22.3893943,-51.2888486
emilianopolis,-21.831436,-51.483168
engenheiro balduino,-20.681818149999998,-49.701778547
coroados,-21.3554634,-50.2853589
espigao,-22.1959223,-51.345722663995964
canitar,-23.0066616,-49.7840632
euclides da cunha paulista,-22.55452,-52.592779
floreal,-20.6767063,-50.1455638
sarapui,-23.63974,-47.824863
campina do monte alegre,-23.5935653,-48.4801876
caiua,-21.8319357,-51.9887179
gaviao peixoto,-21.8377536,-48.492853
getulina,-21.7988557,-49.9288096
glicerio,-21.3814805,-50.2100452
sao pedro do turvo,-22.745286,-49.742829
lourdes,-20.9672545,-50.224966
porangaba,-23.17615,-48.119464
rifaina,-20.080256,-47.429109
rechan,-23.5980092,-48.3171408
nipoa,-20.9126469,-49.7791476
rubiacea,-21.2996334,-50.7298698
nossa senhora do remedio,-23.5383696,-45.936890795
nova campina,-24.1225305,-48.9054041
macaubal,-20.8071616,-49.9648439
ribeirao branco,-24.2211495,-48.7678322
paranapua,-20.1033995,-50.5858761
pardinho,-23.0806795,-48.3768158
murutinga do sul,-20.9913722,-51.2782237
patrocinio paulista,-20.6383609,-47.2801241
queluz,-22.5371881,-44.7752585
pindorama,-10.3333333,-53.2
presidente alves,-22.09991,-49.438133
planalto,-21.0342886,-49.9286556
pontalinda,-20.44071,-50.5235329
potim,-22.8377227,-45.2565239
narandiba,-22.4080573,-51.5251755
zacarias,-21.0523649,-50.0514502
santa maria da serra,-22.5691072,-48.157095
santa ernestina,-21.4634463,-48.3912139
marinopolis,-20.4408333,-50.8227778
moncoes,-20.850949,-50.097537
magda,-20.6444651,-50.2260983
mariapolis,-21.7966708,-51.1831475
mogi-mirim,-22.433009,-46.9581629
pontes gestal,-20.1833464,-49.7031406
termas de ibira,-21.1271157,-49.15965690882353
bandeirantes d'oeste,-20.6012701,-50.82242972140995
trabiju,-22.0410733,-48.3350302
barao ataliba nogueira,-22.38608445,-46.7189683825
pedranopolis,-20.249177,-50.1102463
bora,-22.2703347,-50.5442675
boraceia,-22.195355,-48.7801925
tecainda,-21.969912200000003,-51.130856157734996
botelho,-21.3572417,-48.7860167826087
paulistania,-22.5730321,-49.3985251
tuiuti,-22.819324,-46.6937627
queiroz,-21.7991405,-50.2392786
jeriquara,-20.3104773,-47.5915669
jamaica,-21.53031185,-51.6268714125
parisi,-20.3039424,-50.0135808
cassia dos coqueiros,-21.280082,-47.164327
cipo-guacu,-23.857032150000002,-46.79286099885715
balbinos,-21.9006253,-49.3583966
turmalina,-17.286102,-42.7312574
avai,-22.1564662,-49.3316395
americo de campos,-20.298476,-49.735904
agisse,-22.506,-50.9377
santa salete,-20.2451795,-50.6889625
ajapi,-22.26760245,-47.5302657800937
lavrinhas,-22.570047,-44.902359
alfredo marcondes,-21.9527,-51.413956
venda branca,-21.9363177,-47.131726824768506
piquerobi,-21.8856652,-51.7296404
pinheiros,-23.567249,-46.7019515
pereiras,-23.0743096,-47.9746014
anhembi,-22.7891096,-48.1316776
anhumas,-22.2956478,-51.3873401
aparecida d'oeste,-20.4498109,-50.8808706
aparecida de monte alto,-8.4735384,-41.5170983
aramina,-20.0876144,-47.789201
ubirajara,-22.5261054,-49.6635412
piacatu,-21.5901744,-50.5972241
santo antonio do aracangua,-20.9354866,-50.4953504
tapinas,-21.447900349999998,-48.79770433289053
redencao da serra,-23.2803652,-45.5345747
rubineia,-20.1718325,-50.9995571
sarutaia,-23.2747217,-49.477186
nova guataporanga,-21.3330061,-51.6465874
galia,-22.2936976,-49.5516228
riversul,-23.8303603,-49.4340558
sao sebastiao da serra,-22.4426156,-48.0107866
mira estrela,-19.9806298,-50.136873
santa clara d'oeste,-20.0938889,-50.9263889
itaoca,-24.6409691,-48.8410159
natividade da serra,-23.3783786,-45.4438173
salto grande,-22.891426,-49.9851484
guarapua,-22.247,-48.37067608695652
guatapara,-21.496092,-48.0360685
guzolandia,-20.6491637,-50.6622974
nantes,-22.6191472,-51.2382255
monte castelo,-21.3006353,-51.5686963
iaras,-22.8742567,-49.1593923
ibitiuva,-21.012,-48.35059839139499
monteiro lobato,-22.9553542,-45.8387146
serra azul,-21.3132591,-47.5635821
